id,Q1,Q1distribution_guess1,Q1distribution_guess2,Q1distribution_guess3,Q1distribution_guess4,Q1distribution_guess5,Q2,Q2distribution_guess1,Q2distribution_guess2,Q3,Q3distribution_guess1,Q3distribution_guess2,Q3distribution_guess3,Q3distribution_guess4,Q3distribution_guess5,Q4,Q4distribution_guess1,Q4distribution_guess2,Q4distribution_guess3,Q4distribution_guess4,Q4distribution_guess5,Q5,Q5distribution_guess1,Q5distribution_guess2,Q5distribution_guess3,Q5distribution_guess4,Q5distribution_guess5,Q6,Q6distribution_guess1,Q6distribution_guess2,Q6distribution_guess3,Q6distribution_guess4,Q6distribution_guess5,Q6distribution_guess6,Q6distribution_guess7,Q6distribution_guess8,Q6distribution_guess9,Q6distribution_guess10
111,4,0,0,0,80,20,2,50,50,4,0,10,40,40,10,2,30,40,30,0,0,5,0,0,0,20,80,7,30,0,0,0,30,0,20,0,20,0
112,2,20,45,25,8,2,2,20,80,2,10,20,50,15,5,1,70,20,5,4,1,5,2,4,9,35,50,6,5,12,3,3,15,20,20,5,15,2
114,2,40,50,10,0,0,1,60,40,4,10,30,30,30,0,1,70,30,0,0,0,5,10,30,30,10,20,5,30,20,0,0,30,0,10,0,10,0
119,2,20,60,15,5,0,2,20,80,3,10,35,35,15,5,1,50,40,10,0,0,5,0,0,1,4,95,9,20,2,2,5,10,10,10,15,25,1
126,4,0,0,10,60,30,2,1,99,4,0,0,10,70,20,1,95,5,0,0,0,5,0,0,0,0,100,7,0,30,1,1,5,30,33,0,0,0
129,5,2,5,20,45,28,2,20,80,2,40,30,20,10,0,2,40,30,20,10,0,5,5,10,15,30,40,5,20,10,5,20,15,15,15,0,0,0
134,3,0,20,40,30,10,2,20,80,1,50,40,10,0,0,1,60,30,10,0,0,5,0,0,5,20,75,7,10,30,10,0,10,10,30,0,0,0
139,3,0,20,30,30,20,2,40,60,4,20,30,30,10,10,1,60,30,10,0,0,5,0,20,20,30,30,7,,,,,,,,,,
144,4,2,10,35,40,13,2,5,95,3,15,40,30,12,3,1,85,13,2,0,0,5,0,0,0,5,95,2,20,20,0,5,10,15,20,10,0,0
145,3,0,15,45,35,5,2,30,70,1,10,25,30,25,10,1,35,30,20,10,5,1,15,30,25,20,10,4,10,15,0,25,20,5,5,0,15,5
146,4,5,15,25,30,25,1,50,50,2,30,35,30,5,0,1,43,50,3,1,3,5,4,2,0,2,92,5,20,20,3,4,13,15,15,4,3,3
155,4,5,10,20,40,25,2,20,80,4,5,5,20,40,30,1,75,20,5,0,0,5,0,0,5,15,80,2,5,30,10,0,15,20,10,5,5,0
172,2,30,40,15,10,5,1,50,50,1,40,20,30,5,5,3,5,20,45,25,5,5,1,2,10,40,47,7,15,10,0,3,5,10,20,2,25,10
174,4,10,20,40,20,10,2,15,85,5,5,10,30,30,25,1,90,5,5,0,0,5,5,0,10,35,50,2,0,20,5,15,5,15,15,15,5,5
175,5,0,0,0,30,70,2,50,50,4,0,0,30,40,30,1,60,40,0,0,0,5,0,0,0,60,40,5,0,0,0,0,30,40,30,0,0,0
176,5,,,,,,2,,,4,,,,,,1,,,,,,5,,,,,,7,,,,,,,,,,
179,4,10,10,10,30,40,2,10,90,3,10,20,40,20,10,2,40,30,20,5,5,5,0,0,0,5,95,2,5,25,2,2,5,20,20,1,20,0
180,5,5,10,35,30,20,2,60,40,5,10,20,30,30,10,1,20,30,40,5,5,5,5,5,40,30,20,7,10,10,2,5,10,15,25,5,15,3
184,4,3,6,20,41,30,2,50,50,4,10,25,30,25,10,1,37,27,21,10,5,5,1,2,10,30,57,6,12,10,2,5,15,20,20,5,10,1
186,4,2,10,42,42,4,2,50,50,2,5,40,40,10,5,1,80,15,5,0,0,5,0,0,10,30,60,,,,,,,,,,,
195,2,10,40,30,10,10,2,15,85,2,10,48,30,10,2,1,30,60,5,3,2,5,10,8,2,30,50,2,10,20,5,10,25,10,10,3,5,2
196,5,,,,,,2,,,4,,,,,,2,,,,,,4,,,,,,1,,,,,,,,,,
202,3,0,0,30,40,30,2,20,80,5,0,0,20,20,60,1,80,15,5,0,0,5,0,0,0,15,85,6,0,0,0,0,10,50,30,0,10,0
210,5,0,0,0,0,100,2,20,80,4,5,15,30,40,10,1,95,5,0,0,0,5,0,0,5,15,80,7,10,20,0,10,15,20,25,0,0,0
218,3,5,15,40,20,20,2,30,70,1,20,30,20,20,10,3,30,30,20,10,10,1,20,20,5,15,40,5,15,15,1,14,15,5,10,5,15,5
221,2,10,30,30,20,10,1,40,60,1,30,40,25,5,0,1,50,30,15,4,1,5,2,3,5,10,80,7,10,15,10,3,15,13,13,13,4,4
226,3,5,15,20,40,20,2,10,90,1,20,20,20,20,20,2,40,40,20,0,0,1,5,20,40,20,15,10,5,20,0,20,10,10,20,0,10,5
235,3,,,,,,2,,,4,,,,,,2,,,,,,4,,,,,,5,,,,,,,,,,
240,5,60,30,10,0,0,2,60,40,3,0,0,100,0,0,3,0,0,100,0,0,4,0,0,10,80,10,2,0,60,0,0,10,0,30,0,0,0
245,4,5,5,10,30,50,2,10,90,4,5,5,30,40,20,1,80,20,0,0,0,5,0,0,0,10,90,9,10,0,0,0,20,15,15,20,20,0
249,2,50,30,10,6,4,2,90,10,2,30,40,20,6,4,3,10,30,40,16,4,5,5,10,20,30,35,7,5,30,10,5,1,20,20,2,5,2
254,4,,,,,,2,,,3,,,,,,1,,,,,,5,,,,,,7,,,,,,,,,,
263,5,,,,,,2,,,3,,,,,,1,,,,,,5,,,,,,7,,,,,,,,,,
269,2,20,30,30,10,10,2,10,90,3,30,30,30,10,0,1,30,30,30,10,0,4,10,20,30,30,10,7,10,10,0,10,10,10,20,10,10,10
271,3,0,20,60,20,0,2,20,80,3,0,20,60,20,0,1,70,20,10,0,0,3,0,20,60,20,0,5,10,20,10,5,20,5,20,5,0,5
308,5,2,8,10,30,50,2,40,60,4,5,15,20,40,20,2,10,60,20,8,2,4,5,5,20,20,50,7,10,20,0,0,20,10,20,10,10,0
322,4,0,5,20,35,40,2,50,50,3,10,20,40,20,10,1,95,5,0,0,0,5,0,5,20,30,45,1,14,5,3,1,6,17,23,16,12,3
327,4,0,0,10,60,30,2,40,60,4,0,5,30,60,5,1,90,10,0,0,0,5,0,10,20,30,40,2,15,30,10,0,10,15,20,0,0,0
328,5,0,0,0,15,85,2,35,65,5,0,10,30,45,15,1,10,40,40,10,0,5,0,0,0,15,85,7,25,15,0,0,10,20,20,0,10,0
331,4,0,5,25,50,20,2,10,90,3,10,20,40,20,10,2,10,30,30,20,10,4,0,10,20,40,30,5,0,20,0,0,40,10,30,0,0,0
333,5,0,5,10,35,50,2,10,90,4,5,5,20,40,30,1,30,40,20,5,5,5,1,4,10,35,50,6,5,10,0,5,20,20,20,5,15,0
346,5,1,1,3,5,90,2,30,70,1,10,20,40,20,10,5,40,30,20,8,2,1,20,15,10,20,35,10,5,20,5,15,5,10,20,5,10,5
348,5,,,,,,2,,,4,,,,,,1,,,,,,4,,,,,,2,,,,,,,,,,
353,5,,,,,,2,,,5,,,,,,1,,,,,,5,,,,,,5,,,,,,,,,,
371,2,20,40,30,10,0,2,30,70,2,40,30,20,5,5,1,70,20,10,0,0,5,10,10,30,30,20,7,20,10,10,5,5,15,15,10,5,5
384,1,,,,,,2,,,1,,,,,,5,,,,,,1,,,,,,10,,,,,,,,,,
386,1,10,10,30,40,10,2,30,70,1,80,5,5,5,5,5,90,5,0,0,5,1,5,5,60,0,30,10,10,30,10,5,10,10,20,0,0,5
390,3,10,40,30,15,5,1,60,40,3,20,40,25,10,5,1,40,30,20,10,0,5,0,5,15,35,45,9,10,10,10,0,10,10,10,10,30,0
402,2,2,26,50,20,2,2,20,80,1,35,51,10,3,1,1,50,40,8,1,1,4,3,7,50,30,10,7,15,10,5,5,30,10,21,1,1,2
404,3,,,,,,2,,,3,,,,,,1,,,,,,5,,,,,,5,,,,,,,,,,
406,2,25,35,25,10,5,2,12,88,3,45,25,18,10,2,1,60,28,9,2,1,5,1,2,6,16,75,2,0,20,0,0,20,20,25,15,0,0
409,1,90,10,0,0,0,2,0,100,5,0,0,0,20,80,1,0,0,0,0,100,5,0,0,0,0,100,7,0,0,0,0,0,25,75,0,0,0
410,5,10,10,20,30,30,2,30,70,3,,,,,,1,10,10,20,30,30,5,0,0,0,10,90,9,,,,,,,,,,
412,5,10,10,20,40,20,1,30,70,2,30,40,20,10,0,1,50,30,20,0,0,5,50,40,10,0,0,2,20,20,0,0,0,20,30,10,0,0
417,1,40,30,20,10,0,2,25,75,3,20,25,30,20,5,1,70,20,10,0,0,5,2,6,10,24,58,5,12,5,18,2,17,10,16,10,8,2
418,1,95,5,0,0,0,2,80,20,3,0,20,60,10,10,1,80,20,0,0,0,5,0,0,0,20,80,2,20,25,0,0,20,5,5,5,20,0
429,3,0,0,100,0,0,2,0,100,1,100,0,0,0,0,5,0,0,0,0,100,1,100,0,0,0,0,10,0,0,0,0,0,0,0,0,0,100
431,3,15,40,30,10,5,2,10,90,3,25,35,25,13,2,1,40,40,10,8,2,5,5,5,5,20,65,2,20,20,2,2,10,10,10,0,15,11
436,1,90,10,0,0,0,2,60,40,1,80,10,0,0,10,1,60,10,10,10,10,4,5,5,0,60,30,2,20,20,0,0,20,20,0,0,10,10
443,5,5,10,25,40,20,2,45,55,5,10,15,30,30,15,1,20,30,25,15,10,5,15,25,35,15,10,7,15,15,5,5,20,15,10,5,5,5
449,5,0,0,0,10,90,2,40,60,3,0,20,50,30,0,2,20,80,0,0,0,5,0,0,0,0,100,7,20,20,0,0,10,15,35,0,0,0
453,4,,,,,,2,,,2,,,,,,2,,,,,,5,,,,,,7,20,20,0,0,20,20,20,0,0,0
456,5,15,50,20,10,5,2,60,40,5,25,40,20,10,5,1,30,40,20,5,5,5,30,40,20,5,5,2,5,30,5,20,10,10,10,10,0,0
460,4,0,0,25,50,25,2,25,75,2,10,20,20,40,10,1,70,20,10,0,0,5,0,0,10,20,70,7,10,15,10,5,20,20,15,5,0,0
467,3,0,10,20,50,20,1,30,70,3,5,15,20,50,10,1,80,10,5,5,0,5,0,5,5,10,80,4,5,5,0,10,10,20,10,10,20,10
472,3,0,5,65,15,15,2,20,80,1,50,20,15,10,5,3,50,20,15,10,5,3,5,10,15,30,40,7,2,2,0,0,2,5,80,5,2,2
480,4,0,0,30,40,30,2,75,25,4,0,10,30,40,20,2,20,40,30,10,0,5,0,0,0,25,75,5,0,40,0,0,60,0,0,0,0,0
483,2,1,35,35,20,9,2,50,50,1,40,30,20,9,1,1,50,35,10,4,1,2,1,1,1,9,88,10,15,15,4,5,15,7,8,10,20,1
486,3,5,10,40,40,5,2,20,80,3,30,30,30,10,0,1,70,20,10,0,0,5,1,9,20,35,35,5,10,15,5,5,20,22,22,1,0,0
488,3,0,20,60,20,0,2,30,70,4,0,10,20,70,0,1,80,20,0,0,0,5,0,0,0,0,100,5,0,20,0,0,20,30,30,0,0,0
492,2,30,50,15,3,2,1,40,60,2,10,25,30,30,5,,45,25,15,10,5,5,10,10,15,30,35,2,5,15,2,8,8,15,17,15,10,5
502,4,,,,,,1,,,4,,,,,,2,,,,,,5,,,,,,7,,,,,,,,,,
504,3,10,15,50,15,10,1,60,40,4,10,20,50,15,5,1,50,25,15,7,3,5,2,5,8,15,70,1,15,10,10,10,14,10,10,10,10,1
506,4,,,,,,1,,,2,,,,,,3,,,,,,2,,,,,,4,,,,,,,,,,
508,3,0,20,50,20,10,2,50,50,4,30,20,20,20,10,1,60,20,20,0,0,5,10,20,30,20,20,6,20,20,0,20,10,20,10,0,0,0
509,2,,,,,,1,,,4,10,10,10,60,10,1,,,,,,4,,,,,,8,,,,,,,,,,
510,5,0,0,10,10,80,1,30,70,4,0,0,10,60,30,2,0,10,20,40,30,5,0,0,20,50,30,6,0,0,0,0,10,30,40,0,20,0
511,3,,,,,,1,,,4,,,,,,2,,,,,,4,,,,,,2,2,40,8,10,5,15,5,5,5,5
512,5,2,3,5,80,10,2,50,50,3,0,10,80,10,0,3,0,10,60,20,10,5,0,5,5,10,80,2,3,10,10,25,20,10,10,2,10,0
514,4,0,0,20,60,20,2,40,60,2,10,10,50,20,10,3,20,10,50,10,10,5,0,0,0,10,90,7,20,10,0,0,10,0,10,10,20,20
515,4,2,5,15,43,35,2,30,70,3,10,20,30,30,10,1,40,30,10,10,10,4,10,20,20,30,20,2,10,20,10,5,20,5,15,5,5,5
516,4,,,,,,2,80,20,1,80,10,10,0,0,3,30,20,20,20,10,3,70,10,10,10,0,1,10,10,10,10,20,20,10,10,0,0
517,1,10,90,0,0,0,1,40,60,4,0,0,60,40,0,3,0,0,33,67,0,3,0,10,80,10,0,8,0,0,0,20,0,0,0,80,0,0
518,4,5,10,10,60,15,2,50,50,4,5,5,20,55,15,2,15,35,35,10,5,4,10,10,15,55,10,7,3,3,5,5,25,25,25,5,2,2
519,4,5,5,20,60,10,2,40,60,3,10,20,45,20,5,1,20,35,30,10,5,5,0,8,2,30,60,6,15,20,0,0,5,30,25,0,5,0
521,4,0,0,30,70,0,2,50,50,4,0,0,30,70,0,1,0,0,30,70,0,4,0,0,50,50,0,2,0,50,0,20,0,30,0,0,0,0
522,5,8,1,1,10,80,2,50,50,5,10,10,6,15,59,2,10,50,20,10,10,5,10,5,0,60,25,7,,,,,,,,,,
524,5,0,0,0,5,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,5,1,5,10,30,54,1,40,60,4,8,15,25,28,24,2,8,30,32,28,2,4,1,10,20,39,30,2,10,10,7,6,8,20,20,5,12,2
526,4,0,5,20,40,35,1,60,40,3,5,20,40,30,5,3,5,30,40,20,5,4,0,5,35,30,30,5,20,10,0,15,13,10,20,10,2,0
527,3,,,,,,2,,,4,,,,,,1,,,,,,5,,,,,,6,,,,,,,,,,
528,5,5,0,0,10,85,2,20,80,4,0,0,30,40,30,1,99,0,0,0,1,4,20,20,20,20,20,9,5,5,0,5,5,0,5,0,73,2
529,5,0,0,0,0,100,2,25,75,2,10,50,40,0,0,1,80,20,0,0,0,5,0,0,0,0,100,5,25,25,0,0,25,0,25,0,0,0
530,2,,,,,,1,,,3,,,,,,1,,,,,,5,,,,,,5,,,,,,,,,,
531,4,0,0,10,40,50,2,10,90,3,0,10,60,20,10,3,20,40,30,10,0,5,10,10,20,30,30,2,5,40,0,5,10,20,20,0,0,0
533,5,0,0,0,60,40,2,20,80,4,0,0,0,60,40,2,0,20,40,40,0,5,0,0,0,20,80,2,30,40,30,0,0,0,0,0,0,0
534,5,0,0,5,10,85,2,60,40,3,30,30,25,10,5,1,70,25,5,0,0,5,5,5,10,30,50,7,20,10,0,10,20,15,15,10,0,0
535,4,0,0,30,40,30,,,,3,0,25,50,25,0,2,50,50,0,0,0,5,0,0,0,30,70,7,20,20,0,0,20,20,20,0,0,0
536,5,0,0,0,30,70,2,20,80,5,0,0,0,40,60,2,30,50,20,0,0,4,5,5,5,40,45,7,15,15,5,5,5,10,35,5,5,0
537,5,0,0,0,60,40,1,70,30,4,0,20,60,20,0,5,60,20,10,10,0,3,0,30,50,20,0,5,30,5,0,20,15,10,10,5,5,0
538,5,,,,,,2,,,4,,,,,,2,,,,,,5,,,,,,2,,,,,,,,,,
539,2,10,50,30,5,5,2,0,100,3,10,15,50,15,10,1,30,40,20,5,5,5,5,15,25,35,20,5,5,10,10,5,30,20,15,5,0,0
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
