id,Q1,Q1distribution_guess1,Q1distribution_guess2,Q1distribution_guess3,Q1distribution_guess4,Q1distribution_guess5,Q2,Q2distribution_guess1,Q2distribution_guess2,Q2distribution_guess3,Q2distribution_guess4,Q3,Q3distribution_guess1,Q3distribution_guess2,Q3distribution_guess3,Q3distribution_guess4,Q3distribution_guess5,Q3distribution_guess6,Q3distribution_guess7,Q3distribution_guess8,Q4,Q4distribution_guess1,Q4distribution_guess2,Q4distribution_guess3,Q4distribution_guess4,Q4distribution_guess5,Q5,Q5distribution_guess1,Q5distribution_guess2,Q5distribution_guess3,Q5distribution_guess4,Q5distribution_guess5
73,4,2,10,23,50,15,2,30,40,20,10,7,32,6,23,4,3,8,22,2,1,10,18,12,30,30,1,10,15,20,30,25
76,5,0,0,25,50,25,1,50,25,25,0,3,25,5,25,0,5,0,25,15,1,50,30,15,5,0,3,5,20,50,20,5
77,1,40,30,20,10,0,3,15,30,40,15,1,30,2,30,3,5,10,20,0,2,15,35,10,25,15,4,15,20,10,35,20
81,2,20,70,10,0,0,2,10,60,20,10,1,30,10,20,10,10,0,20,0,1,90,10,0,0,0,1,30,30,0,20,20
84,2,10,35,40,10,5,2,0,50,40,10,7,10,15,20,5,15,5,30,0,2,15,20,20,15,30,2,20,15,10,15,40
94,1,,,,,,2,,,,,1,,,,,,,,,4,,,,,,2,,,,,
99,2,10,45,35,10,0,2,20,30,30,20,7,20,15,15,10,15,3,21,1,4,10,20,25,25,20,1,40,30,20,10,0
101,2,10,40,40,8,2,2,20,30,30,20,7,12,8,19,12,3,17,29,0,2,21,25,30,18,6,2,21,30,25,18,6
104,2,10,70,20,0,0,3,10,40,40,10,7,20,10,5,5,5,5,50,0,4,5,20,50,20,5,4,5,20,50,20,5
105,2,5,20,40,30,5,3,5,40,50,5,7,5,5,10,5,5,5,60,5,1,60,15,5,5,15,2,40,20,15,15,10
111,2,10,80,10,0,0,4,0,20,30,50,7,5,5,5,20,20,5,40,0,1,80,20,0,0,0,1,70,25,5,0,0
114,2,10,60,20,10,0,2,,,,,1,30,20,0,0,20,0,30,0,1,60,20,20,0,0,1,60,20,20,0,0
119,1,40,40,15,5,0,2,20,35,35,10,7,20,1,3,3,20,15,30,8,1,50,34,10,5,1,1,40,40,10,5,5
128,3,5,15,60,10,10,2,20,50,20,10,7,15,18,8,6,10,18,23,2,2,20,30,5,15,30,1,20,5,10,15,50
129,3,5,30,60,5,0,3,10,40,40,10,1,30,5,5,5,10,5,35,5,1,20,30,30,10,10,1,15,20,30,15,20
130,2,30,50,20,0,0,2,,,,,7,,,,,,,,,1,,,,,,1,,,,,
131,4,5,40,50,4,1,3,30,30,30,10,8,30,10,5,5,5,10,30,5,1,20,10,10,20,40,1,20,10,10,20,40
134,2,10,40,40,10,0,3,0,40,35,25,7,20,10,10,5,5,10,30,10,1,25,30,20,10,15,2,20,30,20,10,20
144,2,2,50,35,11,2,2,2,60,30,8,1,33,5,5,2,8,5,41,1,3,20,20,20,20,20,4,20,20,20,20,20
145,4,25,40,20,10,5,3,10,20,35,35,7,20,5,15,10,15,10,25,0,1,10,15,20,25,30,1,15,25,25,20,15
164,1,50,20,10,10,10,2,30,35,25,10,7,30,1,2,2,10,10,40,5,2,20,33,25,15,7,3,15,25,25,25,10
172,3,10,40,30,10,10,2,40,30,20,10,2,20,5,10,5,10,15,20,15,2,40,20,10,10,20,1,20,10,15,25,30
174,3,5,35,45,10,5,2,5,50,40,5,7,10,5,5,10,15,0,50,5,4,25,40,10,20,5,2,35,50,5,10,0
175,2,10,60,30,0,0,2,0,60,40,0,7,10,5,5,5,25,0,50,0,1,50,50,0,0,0,1,50,25,0,25,0
176,3,5,30,35,25,5,4,15,35,20,30,7,20,5,12,10,20,10,20,3,1,30,40,10,10,10,2,10,20,10,40,20
184,4,5,10,30,50,5,2,10,50,25,15,7,13,6,15,10,15,15,25,1,2,25,25,10,20,20,2,25,25,10,20,20
192,2,10,30,40,20,0,2,20,30,30,20,1,20,10,5,5,10,25,25,0,4,20,20,20,30,10,4,10,25,0,30,35
195,2,15,50,20,10,5,1,40,30,20,10,7,12,15,12,3,12,5,36,5,3,20,25,10,25,20,2,20,30,5,20,25
202,2,10,45,30,15,0,4,0,10,50,40,7,25,15,10,0,0,20,30,0,5,10,15,20,25,30,5,10,15,30,25,20
210,3,0,30,50,20,0,3,0,30,50,20,7,10,0,10,0,10,0,70,0,2,10,10,50,30,0,4,10,10,50,30,0
218,3,20,40,30,9,1,3,10,20,50,20,7,20,10,19,10,5,10,25,1,1,40,30,5,5,20,1,35,30,5,5,25
221,1,30,40,20,10,0,3,10,20,50,20,1,40,8,10,10,10,10,10,2,4,20,25,10,25,20,2,25,30,20,15,10
235,2,15,35,35,15,0,4,10,15,60,15,7,0,0,0,10,0,10,80,0,1,80,20,0,0,0,1,80,10,0,5,5
240,4,7,20,20,45,8,2,20,30,30,20,2,10,20,10,10,10,10,10,20,1,30,0,20,40,10,4,20,10,10,40,20
245,2,10,35,35,20,0,3,5,15,50,30,7,20,20,10,5,5,0,40,0,2,10,30,20,30,10,1,40,30,20,10,0
249,3,10,20,35,25,10,4,5,20,30,45,7,10,30,5,10,5,5,30,5,3,10,30,20,20,20,2,10,35,25,20,10
251,3,5,35,45,15,0,2,5,65,30,0,5,5,3,20,2,30,20,20,0,4,20,30,5,30,15,1,40,30,5,10,15
269,2,20,30,30,10,10,2,10,40,30,20,7,10,0,10,0,20,20,40,0,2,20,30,20,20,10,1,30,30,20,10,10
271,3,5,10,50,20,15,3,10,40,40,10,6,5,15,10,5,25,15,20,5,1,30,25,10,15,20,1,25,10,10,15,40
284,3,5,44,44,5,2,2,20,30,30,20,1,35,12,3,2,5,8,35,0,2,35,55,0,0,10,1,50,0,0,0,50
328,2,0,20,60,20,0,2,25,60,15,0,7,10,5,15,15,20,10,25,0,2,15,25,20,25,15,5,10,20,10,40,20
331,2,10,30,35,20,5,2,20,30,30,20,1,30,5,10,5,10,20,20,0,1,30,30,20,10,10,1,20,30,20,15,15
333,3,10,20,50,15,5,3,5,10,65,20,1,35,5,5,10,10,15,15,5,1,30,25,15,20,10,1,30,25,15,20,10
346,5,40,40,10,5,5,1,60,40,0,0,8,20,10,15,10,10,10,20,5,5,5,5,0,20,70,5,30,15,10,15,30
348,2,10,40,40,10,0,3,0,40,40,20,7,20,5,30,10,10,5,20,0,2,20,30,30,10,10,3,10,20,50,10,10
371,2,30,50,20,0,0,2,10,30,50,10,1,30,5,10,5,10,5,30,5,3,30,20,20,10,20,2,35,25,10,10,20
384,5,15,45,35,4,1,1,30,50,15,5,8,10,5,10,10,15,5,44,1,1,20,25,20,5,30,1,10,15,5,20,50
390,2,10,50,30,10,0,2,40,40,15,5,7,5,0,10,0,25,20,40,0,5,10,25,30,25,10,5,10,25,30,25,10
405,2,0,40,40,20,0,2,40,60,0,0,7,15,10,10,10,10,15,30,0,1,50,30,10,10,0,4,10,40,30,20,0
406,2,0,20,55,20,5,2,10,45,35,10,7,5,5,10,5,20,15,40,0,4,40,25,10,25,0,2,35,25,5,15,20
409,1,40,60,0,0,0,2,0,50,50,0,7,10,10,0,0,0,0,80,0,5,10,30,0,30,30,5,20,30,0,30,20
416,3,0,10,60,20,10,3,0,30,40,30,7,10,10,10,0,30,10,30,0,1,30,20,20,20,10,1,20,30,20,15,15
418,3,0,20,50,20,10,4,0,0,10,90,7,20,5,20,5,10,5,30,5,4,30,20,30,10,10,4,40,20,10,10,20
429,4,0,0,0,50,50,2,0,40,40,20,8,0,0,25,0,0,10,40,25,2,30,30,30,10,0,5,30,20,10,10,30
431,2,5,40,50,4,1,1,30,40,30,0,7,30,5,10,0,25,0,25,5,2,25,30,10,20,15,2,20,30,15,20,15
436,5,0,10,60,10,20,2,10,70,20,0,7,,,,,,,,,1,30,30,10,20,10,2,20,40,10,20,10
449,2,0,30,50,20,0,3,0,15,45,40,7,35,0,10,0,5,0,50,0,4,10,20,0,40,30,2,20,40,0,25,15
453,3,10,25,40,25,0,3,25,50,25,0,7,5,10,15,5,5,5,55,0,4,15,20,30,25,10,2,10,25,25,25,15
456,2,10,70,20,0,0,2,0,80,20,0,7,5,0,10,0,10,5,70,0,1,0,0,10,20,70,1,40,10,50,0,0
457,3,10,30,45,10,5,2,20,40,20,20,7,20,10,10,5,5,15,35,0,2,20,50,5,15,10,2,15,40,20,15,10
458,2,5,30,50,5,10,,,,,,1,10,2,20,10,15,8,15,20,1,50,20,10,10,10,,,,,,
460,2,10,60,20,10,0,2,5,75,20,0,7,20,10,5,5,10,10,40,0,4,5,20,20,40,15,2,10,30,20,25,15
467,2,20,40,30,10,0,2,20,40,30,10,7,10,2,2,2,2,2,70,10,2,10,50,10,10,20,4,20,20,20,20,20
470,3,10,25,35,30,0,3,0,25,35,40,5,10,5,15,10,20,15,25,0,4,5,10,30,30,25,4,5,20,35,15,25
472,3,5,30,40,20,5,2,15,60,20,5,7,15,15,20,0,5,5,20,20,1,40,40,10,5,5,2,20,20,20,20,20
483,3,30,30,25,10,5,2,10,50,30,10,8,10,10,10,10,10,10,30,10,1,30,15,10,15,30,5,30,15,10,15,30
486,3,0,10,40,40,10,3,5,40,40,15,7,25,10,15,5,20,2,23,0,1,60,25,0,10,5,1,40,40,5,10,5
488,1,60,30,10,0,0,2,20,60,20,0,7,10,0,0,0,10,0,80,0,1,70,20,0,10,0,1,70,20,0,10,0
492,2,5,50,40,5,0,3,5,30,50,15,1,25,5,5,5,20,10,25,5,1,30,30,10,20,10,1,30,30,15,15,10
504,2,15,75,10,0,0,2,5,45,35,15,7,5,15,10,5,25,20,20,0,1,50,30,10,8,2,2,20,30,25,15,10
527,2,10,35,40,5,10,1,65,20,15,0,7,25,5,5,5,15,10,35,0,4,15,35,15,30,5,2,25,35,15,20,5
528,3,0,10,80,10,0,2,0,50,50,0,7,25,10,0,10,15,0,40,0,1,80,0,0,0,20,1,90,0,0,0,10
560,5,10,30,50,5,5,2,20,30,30,20,8,20,0,10,0,20,20,10,20,1,50,40,10,0,0,5,10,30,30,10,20
570,,,,,,,,,,,,7,30,1,2,2,10,5,50,0,1,60,10,20,5,5,1,60,10,20,5,5
573,2,4,52,40,3,1,3,5,40,45,10,1,25,5,20,5,10,2,30,3,1,20,30,25,15,10,1,20,10,20,20,30
574,2,0,60,40,0,0,2,10,40,40,10,7,10,0,10,0,10,20,50,0,1,70,10,0,20,0,1,50,20,0,10,20
575,1,30,50,10,10,0,3,5,40,50,5,7,30,0,10,0,20,0,40,0,1,50,30,20,0,0,1,20,30,30,20,0
576,2,20,50,20,5,5,4,2,23,35,40,2,15,15,20,1,15,1,31,2,5,5,15,20,30,30,5,3,7,20,30,40
577,3,10,20,50,20,0,2,10,40,30,20,7,15,5,15,15,20,10,20,0,1,50,30,0,20,0,1,50,30,0,20,0
578,3,,,,,,4,,,,,1,,,,,,,,,2,,,,,,1,,,,,
579,1,50,25,20,4,1,3,10,40,40,10,1,20,5,15,10,20,15,15,0,1,30,35,0,15,20,1,30,35,0,15,20
581,,,,,,,,,,,,7,,,,,,,,,,30,40,30,0,0,1,30,30,20,20,0
582,2,10,30,50,10,0,3,0,30,50,20,7,15,0,15,0,15,10,45,0,3,20,20,20,20,20,2,20,30,15,30,5
596,2,5,60,25,5,5,2,10,30,50,10,1,30,10,20,5,5,5,20,5,5,15,20,25,20,20,5,10,10,35,25,20
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
