id,Q1,Q1distribution_guess1,Q1distribution_guess2,Q1distribution_guess3,Q1distribution_guess4,Q1distribution_guess5,Q2,Q2distribution_guess1,Q2distribution_guess2,Q2distribution_guess3,Q2distribution_guess4,Q2distribution_guess5,Q3,Q3distribution_guess1,Q3distribution_guess2,Q3distribution_guess3,Q3distribution_guess4,Q3distribution_guess5,Q4,Q4distribution_guess1,Q4distribution_guess2,Q4distribution_guess3,Q4distribution_guess4,Q4distribution_guess5,Q5,Q5distribution_guess1,Q5distribution_guess2,Q5distribution_guess3,Q5distribution_guess4,Q5distribution_guess5,Q6,Q6distribution_guess1,Q6distribution_guess2,Q6distribution_guess3,Q6distribution_guess4,Q6distribution_guess5
73,2,10,40,5,30,15,2,10,20,10,30,30,1,40,10,4,15,31,1,34,20,4,12,30,2,30,40,20,5,5,1,50,40,2,2,6
74,4,2,25,34,33,6,4,2,6,20,60,12,2,10,70,20,0,0,1,20,20,20,20,20,1,90,10,0,0,0,2,5,25,50,12,8
81,2,20,30,10,30,10,3,0,0,100,0,0,2,0,50,50,0,0,3,0,0,100,0,0,5,0,0,20,30,50,1,50,30,20,0,0
84,4,10,20,20,30,20,2,30,40,20,10,0,5,10,20,10,30,30,4,10,40,20,20,10,1,60,30,10,0,0,1,30,40,15,10,5
94,2,10,50,20,10,10,1,40,40,10,5,5,3,20,20,20,20,20,2,30,40,20,0,10,1,40,30,20,10,0,1,50,20,20,10,0
95,5,2,8,0,30,60,3,5,5,80,5,5,4,5,5,10,40,40,1,70,20,5,3,2,2,20,50,10,10,10,1,80,10,2,5,3
104,4,2,8,20,50,20,3,5,15,60,15,5,3,5,20,50,20,5,4,5,20,50,20,5,1,50,30,15,5,0,2,20,50,20,10,0
105,1,20,20,20,20,20,1,45,25,15,10,5,3,25,25,10,20,20,4,40,20,10,25,5,1,25,40,20,10,5,1,50,30,10,5,5
111,2,10,40,5,30,15,2,15,40,10,20,15,1,50,20,5,20,5,1,40,20,5,35,0,1,40,40,10,5,5,1,40,40,10,5,5
112,4,5,10,10,45,30,3,30,30,25,10,5,5,5,5,5,30,55,1,50,35,10,2,3,1,70,30,0,0,0,3,25,30,30,10,5
114,2,20,40,20,10,10,1,30,40,30,0,0,2,20,40,20,20,0,1,50,20,30,0,0,2,20,30,30,20,0,1,40,20,20,20,0
119,4,1,4,10,35,50,3,10,20,25,30,15,5,0,0,5,30,65,2,20,50,5,20,5,1,50,40,5,4,1,2,20,50,15,15,0
126,5,5,5,0,20,70,4,10,20,20,30,20,5,0,0,0,30,70,1,30,50,5,10,5,2,50,40,0,10,0,1,50,50,0,0,0
129,2,25,30,25,15,5,2,25,30,25,15,5,1,30,30,25,10,5,3,15,20,30,20,15,2,25,30,25,15,5,1,30,30,25,10,5
131,1,10,30,30,20,10,4,40,30,20,5,5,1,10,20,30,30,10,1,80,20,0,0,0,5,70,20,4,4,2,5,70,20,5,3,2
144,2,,,,,,2,,,,,,2,25,35,10,15,15,2,,,,,,1,35,35,10,10,10,3,25,15,20,20,20
145,1,5,15,45,25,10,3,35,30,25,7,3,4,15,30,30,15,10,4,15,35,30,15,5,1,50,25,15,7,3,5,30,40,20,7,3
146,5,5,15,5,35,40,4,20,20,20,20,20,5,2,8,5,40,45,2,15,20,5,35,25,1,85,10,0,5,0,3,15,20,30,20,15
164,4,0,20,30,50,0,3,10,30,50,10,0,1,50,40,10,0,0,2,20,40,30,10,0,2,25,50,20,5,0,4,10,25,40,20,5
174,4,10,5,30,40,15,1,25,40,15,15,5,2,15,30,25,20,10,1,10,25,50,10,5,1,25,10,35,20,10,2,40,35,15,0,10
175,4,0,10,25,40,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,3,5,5,10,40,40,3,5,5,10,40,40,3,5,5,10,40,40,2,10,45,5,20,20,1,70,20,4,3,3,3,15,15,20,35,15
182,2,20,35,30,10,5,2,15,35,25,15,10,2,10,15,25,40,10,2,15,25,35,20,5,1,15,35,25,15,10,4,20,30,20,20,10
184,3,25,35,30,5,5,1,50,35,10,3,2,1,35,30,25,5,5,2,20,40,20,10,10,1,40,30,20,5,5,2,22,35,25,15,3
186,2,5,45,40,5,5,2,5,45,40,5,5,2,5,45,40,5,5,,,,,,,1,75,10,10,5,0,3,20,20,20,20,20
192,4,20,30,10,30,10,1,30,30,10,20,10,2,30,30,20,10,10,4,20,15,15,25,25,2,20,30,10,30,10,1,40,30,10,10,10
195,1,50,40,1,4,5,2,30,50,5,10,5,2,30,50,10,5,5,2,30,50,5,5,10,1,60,30,0,5,5,2,20,50,10,15,5
201,3,10,30,30,20,10,1,40,20,20,10,10,5,5,15,20,30,30,1,70,10,10,5,5,1,50,20,15,10,5,2,20,30,30,15,5
202,5,5,5,0,10,80,4,30,10,0,30,30,5,10,10,10,20,50,1,50,30,10,5,5,1,40,30,20,5,5,5,15,10,25,10,40
210,4,10,30,40,20,0,2,10,40,30,15,5,3,5,25,50,15,5,2,30,40,30,0,0,1,40,40,20,0,0,1,50,30,20,0,0
212,1,75,25,0,0,0,1,30,40,20,10,0,1,40,25,25,10,0,2,25,25,10,20,20,1,60,40,0,0,0,1,50,50,0,0,0
221,5,10,20,20,30,20,5,10,20,20,30,20,4,7,20,30,25,18,2,15,35,20,20,10,3,12,23,30,23,12,4,10,20,35,25,10
235,4,10,20,25,35,10,4,10,15,25,30,20,2,20,30,30,15,5,2,20,30,20,15,15,1,45,20,15,10,10,2,20,40,20,10,10
249,2,10,20,20,30,20,1,30,20,20,20,10,4,10,10,20,30,30,2,30,20,20,20,10,1,60,20,10,5,5,1,30,30,20,10,10
263,3,0,33,34,33,0,4,0,20,20,40,20,1,0,0,0,30,70,3,0,30,40,30,0,2,30,40,30,0,0,1,50,50,0,0,0
269,5,10,10,20,20,40,3,10,20,40,20,10,4,10,20,20,30,20,4,10,30,20,30,10,4,10,20,30,30,10,5,40,30,10,10,10
271,2,10,30,25,30,5,2,10,30,30,20,10,2,10,30,30,20,10,5,5,10,30,50,5,2,5,20,40,30,5,2,10,30,30,20,10
298,4,20,10,20,30,20,5,10,5,5,25,55,5,5,0,10,10,75,1,60,20,10,10,0,1,80,10,5,0,5,1,40,30,20,10,0
314,3,5,10,10,20,55,2,10,20,40,20,10,2,25,35,25,10,5,4,15,15,15,30,25,2,40,35,10,10,5,5,40,35,20,3,2
327,4,0,5,5,20,70,4,0,5,5,20,70,4,0,5,5,20,70,1,90,10,0,0,0,1,90,10,0,0,0,2,10,40,30,15,5
328,5,0,10,10,50,30,1,40,50,10,0,0,4,0,20,50,20,10,2,0,20,50,20,10,1,50,40,10,0,0,1,50,40,10,0,0
330,2,5,40,30,20,5,5,25,5,10,20,40,5,20,20,20,20,20,1,25,20,15,15,25,1,30,15,15,15,25,5,30,10,15,15,30
331,2,20,60,20,0,0,2,20,50,30,0,0,2,30,50,20,0,0,4,10,30,30,20,10,1,50,30,15,5,0,1,50,30,15,5,0
333,4,5,10,20,50,15,4,10,10,30,40,10,5,5,10,20,25,40,1,40,30,10,15,5,1,40,30,10,15,5,2,20,30,30,10,10
346,1,30,30,20,10,10,5,50,30,10,5,5,1,60,30,6,3,1,1,5,20,50,20,5,1,90,10,0,0,0,5,50,30,10,5,5
348,4,0,10,20,50,20,1,30,50,20,0,0,2,20,40,40,0,0,2,10,30,40,20,0,2,10,30,30,20,10,3,10,20,40,20,10
353,4,20,30,5,35,10,2,40,40,5,10,5,5,5,20,5,30,40,1,40,30,5,20,5,1,40,50,5,5,0,1,40,50,5,5,0
371,4,20,10,20,20,30,4,25,10,15,20,30,5,20,5,10,15,50,5,15,10,25,20,30,1,35,10,15,15,25,2,20,30,20,10,20
384,1,15,20,15,20,30,5,25,30,15,20,10,2,20,25,15,20,20,5,20,35,25,15,5,1,40,30,10,15,5,5,35,30,15,15,5
386,1,10,20,20,20,30,2,30,20,10,20,20,1,40,20,10,10,20,5,40,35,10,0,15,2,40,20,20,20,0,5,45,30,15,5,5
390,2,25,30,25,15,5,1,35,30,20,10,5,3,20,25,30,20,5,1,25,30,25,15,5,1,35,35,20,10,0,1,30,35,25,10,0
406,4,5,10,15,35,35,5,3,6,11,20,60,5,4,8,10,32,46,1,50,15,5,15,15,2,30,40,15,10,5,3,25,20,30,15,10
410,4,10,20,30,20,20,2,10,30,30,20,10,5,10,10,30,30,20,2,20,30,30,10,10,1,70,30,0,0,0,1,30,30,40,0,0
416,4,5,10,25,40,20,3,10,20,40,20,10,4,5,10,35,40,10,5,5,10,20,30,35,2,20,40,20,15,5,2,10,40,30,10,10
417,2,30,40,20,10,0,2,25,35,25,10,5,3,20,30,35,10,5,2,25,40,20,10,5,1,45,30,15,10,0,4,10,30,40,15,5
431,4,5,30,30,30,5,1,20,30,25,15,10,2,20,35,25,15,5,1,25,35,25,10,5,1,30,40,20,5,5,2,20,35,20,20,5
445,,,,,,,2,10,30,0,50,10,2,10,30,0,50,10,1,0,30,10,40,20,1,10,20,20,30,20,2,20,40,10,20,10
449,5,2,8,20,50,20,2,10,30,30,20,10,4,5,20,40,30,5,1,40,40,20,0,0,1,80,20,0,0,0,2,20,30,30,20,0
453,4,10,20,30,30,10,4,0,25,50,25,0,4,10,25,30,25,10,4,10,30,30,20,10,3,20,20,30,20,10,1,10,50,20,10,10
455,4,20,35,25,15,5,5,0,15,20,35,30,2,15,35,20,20,10,2,20,35,20,15,10,2,25,35,5,35,0,1,45,45,0,10,0
456,5,5,5,20,5,65,4,5,5,20,20,50,5,5,5,5,5,80,1,70,15,5,5,5,1,80,5,5,5,5,1,90,5,5,0,0
460,5,0,0,25,50,25,1,75,25,0,0,0,2,25,50,0,25,0,1,75,25,0,0,0,1,75,25,0,0,0,1,100,0,0,0,0
467,5,5,10,50,25,10,4,10,30,45,10,5,5,5,10,35,30,20,2,20,30,35,10,5,2,20,30,40,10,0,1,30,40,20,5,5
470,1,30,35,20,10,5,1,40,30,10,15,5,2,15,25,30,20,10,2,10,30,30,15,15,1,35,25,20,10,10,2,20,30,10,30,10
472,2,20,20,10,20,30,4,10,10,20,30,30,2,20,20,10,25,25,1,30,30,10,10,20,1,70,20,10,0,0,3,20,10,50,10,10
483,1,30,10,20,10,30,4,50,30,10,5,5,2,20,30,20,10,20,4,20,20,20,20,20,1,70,20,10,0,0,5,35,30,20,10,5
486,2,10,40,0,30,20,2,15,40,10,20,15,4,20,40,5,20,15,1,50,40,0,5,5,1,40,40,8,10,2,1,40,45,10,3,2
488,2,50,30,10,5,5,2,40,40,10,5,5,1,70,25,2,2,1,2,40,30,10,10,10,2,50,30,10,5,5,1,80,20,0,0,0
492,4,5,10,15,30,40,4,15,20,30,25,10,3,5,10,40,30,15,4,10,20,30,30,10,2,35,30,20,10,5,1,50,30,10,5,5
495,2,50,50,0,0,0,2,25,50,0,15,10,3,10,40,30,10,10,3,10,20,40,20,10,1,20,30,30,10,10,1,40,30,10,10,10
500,2,25,40,10,25,0,1,35,25,10,10,20,1,35,25,20,15,5,1,15,25,10,25,25,1,45,25,15,10,5,1,65,30,5,0,0
502,2,20,30,20,20,10,1,30,25,10,25,10,1,20,20,20,20,20,4,15,15,25,30,15,1,50,30,10,5,5,2,30,25,15,20,10
504,4,5,15,20,50,10,2,20,30,30,15,5,3,5,15,20,40,20,4,10,15,30,30,15,1,0,5,5,30,60,2,25,35,25,10,5
530,5,5,5,20,40,30,4,5,15,20,30,30,1,5,5,30,30,30,4,10,20,40,20,10,1,5,5,10,40,40,1,50,30,15,5,0
567,2,30,60,10,0,0,1,80,20,0,0,0,2,30,60,10,0,0,1,90,10,0,0,0,1,90,10,0,0,0,1,90,10,0,0,0
569,4,10,20,10,50,10,2,10,50,25,10,5,3,0,20,60,20,0,2,10,70,0,15,5,1,80,20,0,0,0,2,30,60,0,10,0
570,2,10,40,30,20,0,2,20,35,35,10,0,2,7,60,30,3,0,1,35,30,20,15,0,1,80,15,3,2,0,1,80,15,5,0,0
575,4,30,20,30,15,5,1,40,30,20,10,0,2,30,40,20,5,5,3,5,20,30,25,20,2,30,20,20,20,10,1,50,30,20,0,0
579,2,15,35,20,25,5,2,15,25,15,25,20,2,15,35,20,25,5,5,15,20,15,30,20,1,10,10,20,25,35,4,25,30,15,20,10
580,5,,,,,,4,,,,,,5,,,,,,4,,,,,,2,,,,,,3,,,,,
599,4,15,15,25,30,15,3,20,20,30,15,15,2,20,30,20,20,10,1,70,15,5,5,5,3,10,15,50,15,10,1,70,15,5,5,5
605,4,5,5,10,50,30,5,5,5,5,10,75,2,25,40,0,25,10,1,70,10,5,10,5,1,70,20,0,5,5,4,10,10,5,60,15
606,1,,,,,,2,,,,,,2,,,,,,1,,,,,,2,,,,,,2,,,,,
607,3,5,30,40,25,0,4,5,25,35,30,5,4,5,15,30,40,10,3,0,30,40,30,0,2,15,30,30,15,10,1,30,30,30,10,0
609,4,30,20,10,30,10,1,40,30,10,10,10,2,20,30,10,20,20,1,30,30,10,20,10,1,25,30,10,25,10,4,20,20,20,20,20
610,3,20,20,20,20,20,2,20,20,20,20,20,3,20,20,20,20,20,1,40,20,20,10,10,1,30,25,15,15,15,4,15,25,20,20,20
611,1,20,40,20,10,10,3,10,25,30,25,10,2,10,30,50,5,5,1,50,20,10,10,10,3,20,20,20,20,20,2,50,30,10,5,5
615,1,40,25,10,18,7,1,28,37,5,20,10,1,30,45,5,10,10,4,15,25,10,30,20,1,25,45,5,20,5,3,16,32,25,16,11
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
